 | 280  | Drampa             |  0.09715% | 6791   |  0.163% | 4863   |  0.153% | 
 | 281  | Regice             |  0.09693% | 7016   |  0.169% | 5068   |  0.160% | 
 | 282  | Vileplume          |  0.09672% | 6629   |  0.159% | 4850   |  0.153% | 
 | 283  | Miltank            |  0.09397% | 9154   |  0.220% | 6787   |  0.214% | 
 | 284  | Rhydon             |  0.09350% | 7166   |  0.172% | 5765   |  0.182% | 
 | 285  | Masquerain         |  0.09226% | 6081   |  0.146% | 4998   |  0.158% | 
 | 286  | Ursaring           |  0.09179% | 7224   |  0.174% | 5093   |  0.161% | 
 | 287  | Articuno           |  0.09084% | 7628   |  0.183% | 5566   |  0.176% | 
 | 288  | Cryogonal          |  0.09033% | 6878   |  0.165% | 5102   |  0.161% | 
 | 289  | Luxray             |  0.08957% | 11683  |  0.281% | 8372   |  0.264% | 
 | 290  | Electrode          |  0.08845% | 6235   |  0.150% | 5097   |  0.161% | 
 | 291  | Spiritomb          |  0.08823% | 8171   |  0.196% | 6036   |  0.190% | 
 | 292  | Liepard            |  0.08734% | 6706   |  0.161% | 5108   |  0.161% | 
 | 293  | Exeggutor          |  0.08722% | 8270   |  0.199% | 5872   |  0.185% | 
 | 294  | Raichu             |  0.08460% | 9879   |  0.237% | 7003   |  0.221% | 
 | 295  | Rampardos          |  0.08436% | 6617   |  0.159% | 4644   |  0.146% | 
 | 296  | Gallade            |  0.08360% | 8643   |  0.208% | 5979   |  0.189% | 
 | 297  | Mudsdale           |  0.08339% | 7678   |  0.184% | 5988   |  0.189% | 
 | 298  | Emboar             |  0.08259% | 8275   |  0.199% | 6196   |  0.195% | 
 | 299  | Archeops           |  0.08233% | 6542   |  0.157% | 4843   |  0.153% | 
 | 300  | Exploud            |  0.08139% | 6742   |  0.162% | 4969   |  0.157% | 
